Date,Region,Cluster,Sub_Cluster,Customer_Group,Brand,SKU_ID,SKU_Name,Forecast_Lag0_Units,Shipped_Units
2025-07-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,9239,9125
2025-08-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,8510,8234
2025-09-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,8656,8016
2025-10-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,8757,7843
2025-11-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,8217,8083
2025-12-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,9330,9715
2026-01-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,10016,10950
2026-02-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,13320,13179
2026-03-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,11865,12264
2026-04-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,12744,12959
2026-05-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,11051,11328
2026-06-01,EMEA,EMEA Central,France,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,10124,10181
2025-07-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2775,2707
2025-08-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2399,2547
2025-09-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2449,2481
2025-10-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2237,2280
2025-11-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2314,2375
2025-12-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2815,2846
2026-01-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2936,2770
2026-02-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2514,2604
2026-03-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2762,2659
2026-04-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2461,2639
2026-05-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2779,2817
2026-06-01,EMEA,EMEA South,Italy,Convenience,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,2531,2515
2025-07-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,7215,9115
2025-08-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,6574,8937
2025-09-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,5782,7704
2025-10-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,6122,8167
2025-11-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,6305,8894
2025-12-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,7947,10021
2026-01-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,9116,12232
2026-02-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,9003,11702
2026-03-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,9993,12605
2026-04-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,11286,14267
2026-05-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,9698,12092
2026-06-01,EMEA,EMEA East,CEE,E-commerce,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,9475,12405
2025-07-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,6203,6001
2025-08-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,5872,6308
2025-09-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,6248,6141
2025-10-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,6963,6897
2025-11-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,6795,6960
2025-12-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,6743,7157
2026-01-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,8431,8407
2026-02-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,6701,6846
2026-03-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,7386,7318
2026-04-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,6937,6931
2026-05-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,7350,6907
2026-06-01,EMEA,EMEA Central,Benelux,Travel Retail,Choco Supreme,CHO-0001,Choco Supreme Gift Box 100g,5706,5761
2025-07-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,6745,9996
2025-08-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,6987,10064
2025-09-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,5881,8569
2025-10-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,6750,9489
2025-11-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,7452,9743
2025-12-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,7402,10588
2026-01-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,8892,12236
2026-02-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,7387,12477
2026-03-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,9149,13220
2026-04-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,7753,11885
2026-05-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,6905,10899
2026-06-01,EMEA,EMEA North,Nordics,E-commerce,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,6757,10386
2025-07-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,2273,2548
2025-08-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,2103,2445
2025-09-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,1687,2331
2025-10-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,1852,2464
2025-11-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,1657,2391
2025-12-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,1920,2606
2026-01-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,2583,3303
2026-02-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,2422,2930
2026-03-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,2182,2990
2026-04-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,2460,3354
2026-05-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,2186,3318
2026-06-01,EMEA,EMEA North,UK & Ireland,Foodservice,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,1921,2534
2025-07-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,12234,11887
2025-08-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,10820,10506
